gender,SeniorCitizen,Partner,Dependents,tenure,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,PaperlessBilling,MonthlyCharges,Churn
Female,Yes,Yes,No,25,DSL,Yes,No,No,Yes,Yes,Yes,69.5,No
Female,Yes,Yes,No,8,Fiber optic,No,Yes,No,No,No,Yes,80.65,Yes
Female,Yes,Yes,Yes,60,DSL,Yes,Yes,Yes,Yes,No,Yes,74.85,No
Male,Yes,No,No,18,Fiber optic,No,No,No,No,Yes,Yes,95.45,Yes
Female,No,Yes,Yes,63,Fiber optic,Yes,No,No,No,Yes,Yes,99.65,No
Male,Yes,Yes,Yes,66,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,108.45,No
Female,No,No,No,72,Fiber optic,No,No,Yes,Yes,Yes,Yes,107.5,No
Female,No,Yes,No,47,Fiber optic,No,No,Yes,No,Yes,Yes,100.5,No
Male,No,No,No,60,Fiber optic,No,Yes,No,No,Yes,Yes,89.9,No
Male,No,Yes,No,72,DSL,Yes,Yes,Yes,No,No,No,42.1,No
Female,No,Yes,Yes,18,DSL,No,No,Yes,Yes,No,Yes,54.4,No
Female,No,No,No,9,Fiber optic,No,No,No,No,Yes,No,94.4,Yes
Female,No,No,No,3,DSL,No,Yes,No,Yes,Yes,Yes,75.3,No
Male,No,Yes,No,47,Fiber optic,No,Yes,No,No,No,Yes,78.9,No
Female,No,No,No,31,DSL,No,Yes,Yes,Yes,Yes,No,79.2,No
Male,No,No,No,10,Fiber optic,Yes,No,Yes,No,No,Yes,79.85,No
Male,No,No,No,1,DSL,No,No,No,Yes,No,No,49.05,No
Male,Yes,Yes,Yes,64,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,111.6,No
Female,No,No,Yes,3,DSL,Yes,No,No,Yes,No,Yes,64.5,No
Female,Yes,No,No,56,Fiber optic,Yes,Yes,Yes,No,Yes,No,110.5,No
Female,No,No,No,46,DSL,No,No,No,No,No,No,55.65,No
Female,No,Yes,Yes,8,DSL,Yes,Yes,No,No,No,No,54.65,No
Male,Yes,No,No,30,DSL,Yes,Yes,No,No,Yes,Yes,74.75,No
Female,No,No,Yes,1,Fiber optic,No,No,No,No,Yes,Yes,79.35,Yes
Female,No,Yes,Yes,11,DSL,Yes,No,No,No,Yes,No,50.55,No
Female,No,Yes,No,7,Fiber optic,No,No,Yes,No,No,Yes,75.15,Yes
Female,No,No,No,42,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,103.8,No
Male,No,No,No,9,Fiber optic,No,Yes,No,No,Yes,Yes,99.3,No
Female,No,Yes,No,35,DSL,Yes,No,No,No,Yes,Yes,62.15,No
Male,No,Yes,No,29,DSL,No,No,No,No,Yes,No,33.75,No
Male,No,Yes,Yes,30,Fiber optic,No,Yes,Yes,No,No,No,82.05,No
Male,Yes,No,No,1,Fiber optic,No,No,No,Yes,No,No,74.7,No
Male,No,Yes,Yes,66,DSL,Yes,No,Yes,Yes,Yes,Yes,84.0,No
Female,No,No,No,65,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,111.05,No
Male,No,No,No,72,Fiber optic,No,Yes,Yes,No,Yes,Yes,100.9,No
Female,No,No,No,12,Fiber optic,Yes,No,No,No,No,Yes,78.95,Yes
Male,No,Yes,Yes,71,DSL,Yes,Yes,No,Yes,No,Yes,66.85,No
Female,Yes,Yes,No,25,Fiber optic,No,Yes,Yes,No,Yes,Yes,98.5,Yes
Male,No,No,No,38,Fiber optic,No,No,Yes,Yes,Yes,No,95.0,No
Female,Yes,Yes,No,66,DSL,No,Yes,Yes,No,Yes,No,45.55,No
Male,No,Yes,No,68,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,110.0,Yes
Male,No,No,No,5,DSL,No,No,No,No,No,No,24.3,No
Female,No,Yes,Yes,72,Fiber optic,Yes,Yes,No,No,Yes,Yes,104.15,No
Female,No,No,No,32,DSL,Yes,No,No,No,No,No,30.15,No
Male,No,No,No,43,Fiber optic,No,No,No,No,Yes,No,94.35,No
Male,No,Yes,No,55,Fiber optic,Yes,Yes,No,No,Yes,Yes,96.75,Yes
Female,No,No,No,52,DSL,Yes,No,Yes,Yes,No,No,57.95,No
Female,No,No,No,43,Fiber optic,No,Yes,Yes,No,Yes,Yes,91.65,No
Female,Yes,Yes,No,37,Fiber optic,No,No,No,No,No,Yes,76.5,Yes
Female,No,Yes,Yes,64,DSL,No,Yes,No,Yes,Yes,Yes,54.6,No
Male,No,Yes,Yes,3,Fiber optic,Yes,Yes,No,No,Yes,No,89.85,No
Female,No,No,No,36,DSL,Yes,No,No,No,No,No,31.05,No
Female,No,Yes,Yes,10,Fiber optic,Yes,No,No,No,Yes,Yes,100.25,Yes
Male,No,Yes,Yes,27,Fiber optic,No,Yes,No,Yes,No,Yes,85.2,No
Female,No,Yes,Yes,56,Fiber optic,No,No,Yes,No,Yes,Yes,99.8,No
Male,No,No,No,3,Fiber optic,No,No,No,No,No,Yes,74.4,Yes
Female,No,Yes,Yes,7,DSL,Yes,No,No,No,No,No,50.7,No
Male,No,No,No,33,Fiber optic,Yes,No,No,Yes,Yes,Yes,88.95,No
Female,Yes,No,No,27,Fiber optic,No,No,Yes,No,No,Yes,78.05,Yes
Male,Yes,No,No,71,DSL,Yes,Yes,No,No,Yes,Yes,56.45,No
Female,No,No,No,13,Fiber optic,No,No,No,No,No,Yes,85.95,No
Female,No,Yes,Yes,25,DSL,Yes,Yes,Yes,No,Yes,Yes,58.6,Yes
Male,No,No,No,67,DSL,No,No,No,Yes,No,No,50.55,No
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,35.45,Yes
Male,No,No,No,2,DSL,No,No,No,No,No,No,44.35,Yes
Female,No,No,No,23,Fiber optic,Yes,No,No,No,No,Yes,75.0,No
Female,Yes,Yes,No,1,Fiber optic,No,No,No,No,No,Yes,70.45,Yes
Female,Yes,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,88.05,No
Female,No,No,No,8,DSL,Yes,No,No,Yes,No,No,71.15,Yes
Female,No,Yes,No,61,Fiber optic,No,Yes,No,No,Yes,Yes,101.05,No
Male,No,No,No,64,Fiber optic,Yes,Yes,No,No,No,Yes,84.3,No
Female,No,Yes,Yes,65,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,99.05,No
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,45.65,Yes
Male,No,No,Yes,30,DSL,No,Yes,Yes,No,Yes,No,64.5,No
Male,No,Yes,Yes,15,DSL,No,Yes,Yes,Yes,No,Yes,69.5,No
Female,No,Yes,Yes,8,DSL,No,No,No,Yes,Yes,Yes,68.55,No
Male,No,No,No,7,Fiber optic,No,No,No,No,Yes,No,95.0,Yes
Female,No,Yes,Yes,70,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,108.15,No
Male,No,Yes,Yes,62,DSL,Yes,Yes,Yes,Yes,Yes,No,86.1,No
Female,No,Yes,Yes,14,Fiber optic,No,No,No,No,No,Yes,80.9,No
Female,No,No,No,22,Fiber optic,No,No,No,No,Yes,Yes,84.15,No
Male,No,Yes,Yes,16,DSL,Yes,No,Yes,No,Yes,No,64.25,No
Female,No,No,Yes,13,DSL,Yes,Yes,No,No,No,Yes,56.0,No
Female,No,Yes,No,20,Fiber optic,Yes,No,No,No,No,No,82.4,Yes
Female,No,No,No,2,Fiber optic,No,No,No,No,No,Yes,69.7,No
Male,No,No,No,53,DSL,No,Yes,Yes,Yes,No,Yes,73.9,No
Female,No,No,No,4,Fiber optic,No,No,No,No,No,Yes,70.9,Yes
Male,No,Yes,No,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,89.05,No
Male,Yes,Yes,No,58,DSL,No,Yes,Yes,No,No,Yes,45.3,Yes
Male,No,Yes,No,43,Fiber optic,Yes,No,Yes,Yes,No,Yes,84.25,No
Female,No,Yes,No,2,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.4,Yes
Male,No,Yes,No,14,DSL,No,Yes,Yes,Yes,Yes,No,81.95,No
Female,No,Yes,No,53,Fiber optic,No,No,Yes,No,Yes,Yes,94.85,Yes
Female,Yes,No,No,15,Fiber optic,No,No,No,No,No,Yes,74.45,Yes
Female,Yes,No,No,7,Fiber optic,Yes,No,No,No,No,No,76.45,Yes
Female,No,Yes,Yes,15,Fiber optic,No,Yes,Yes,No,Yes,Yes,105.35,No
Female,No,No,No,1,DSL,No,Yes,No,No,No,No,29.95,Yes
Female,No,No,No,1,DSL,No,No,No,No,No,No,45.3,No
Male,No,No,No,8,Fiber optic,No,No,No,No,No,No,84.5,Yes
Male,No,Yes,Yes,33,DSL,Yes,No,Yes,No,Yes,No,74.75,No
Female,No,No,No,13,Fiber optic,No,Yes,Yes,No,No,Yes,79.25,Yes
Female,No,Yes,No,1,DSL,No,No,No,No,No,Yes,24.8,Yes
Male,No,No,No,20,DSL,No,Yes,No,No,No,Yes,51.8,No
Male,No,No,No,3,DSL,No,No,No,Yes,No,No,30.4,No
Female,No,Yes,No,40,DSL,No,Yes,No,No,No,No,56.6,No
Male,No,Yes,Yes,43,DSL,Yes,No,No,Yes,No,Yes,71.9,No
Male,No,Yes,No,6,Fiber optic,No,Yes,Yes,No,No,Yes,91.0,Yes
Female,No,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,No,Yes,No,109.7,No
Female,No,Yes,No,20,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,96.55,No
Male,No,No,No,59,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,111.35,No
Male,No,Yes,Yes,72,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,112.25,No
Female,No,Yes,No,27,Fiber optic,Yes,No,No,Yes,Yes,Yes,101.9,No
Female,No,No,No,14,Fiber optic,No,Yes,No,Yes,No,Yes,80.05,No
Male,No,Yes,Yes,71,Fiber optic,Yes,No,Yes,No,Yes,No,105.55,No
Male,No,No,Yes,13,Fiber optic,No,No,No,No,Yes,Yes,78.3,No
Male,No,No,No,44,Fiber optic,No,No,No,No,No,No,68.85,No
Female,No,No,No,33,Fiber optic,No,Yes,No,Yes,No,Yes,79.95,No
Male,No,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,No,Yes,55.45,No
Male,No,No,No,1,Fiber optic,No,No,No,No,No,No,79.9,Yes
Female,No,No,No,19,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,106.6,Yes
Male,No,Yes,No,64,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,102.45,No
Male,No,No,No,2,DSL,No,No,No,No,No,Yes,46.0,Yes
Female,No,No,No,1,DSL,No,No,No,No,No,No,25.25,No
Male,Yes,Yes,No,23,Fiber optic,No,No,No,No,No,No,86.8,No
Female,No,Yes,No,57,DSL,Yes,Yes,Yes,No,Yes,Yes,58.75,No
Male,No,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,No,No,45.25,No
Male,No,Yes,No,66,DSL,Yes,Yes,Yes,Yes,Yes,Yes,56.6,No
Male,No,Yes,Yes,65,DSL,No,Yes,Yes,Yes,Yes,Yes,84.2,No
Female,No,No,No,8,Fiber optic,No,No,No,No,Yes,Yes,80.0,No
Female,No,No,No,4,Fiber optic,No,No,No,No,No,Yes,70.15,Yes
Male,No,Yes,No,4,DSL,No,No,No,Yes,No,No,50.05,Yes
Male,No,No,No,24,DSL,Yes,No,No,No,Yes,Yes,50.6,No
Female,No,Yes,Yes,31,DSL,Yes,No,Yes,Yes,Yes,Yes,81.15,No
Female,No,Yes,No,1,DSL,No,No,No,No,Yes,No,55.2,Yes
Male,No,No,No,30,Fiber optic,No,No,No,Yes,No,Yes,89.9,No
Female,No,Yes,Yes,47,DSL,Yes,Yes,No,Yes,Yes,Yes,85.3,No
Male,No,No,No,54,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,108.0,No
Male,No,No,No,50,Fiber optic,Yes,Yes,No,Yes,No,Yes,93.5,No
Male,No,No,No,1,Fiber optic,Yes,No,No,No,No,Yes,84.6,Yes
Male,No,No,No,2,DSL,No,Yes,No,No,No,Yes,54.4,Yes
Female,No,No,No,10,DSL,No,No,No,Yes,No,Yes,29.6,No
Male,No,Yes,No,18,Fiber optic,No,No,No,No,No,Yes,73.15,No
Female,Yes,No,No,11,Fiber optic,No,Yes,No,No,Yes,Yes,95.0,Yes
Female,No,No,No,72,DSL,No,Yes,Yes,Yes,Yes,No,86.6,No
Male,No,No,No,72,Fiber optic,No,Yes,Yes,Yes,Yes,No,109.2,No
Female,No,Yes,Yes,41,DSL,Yes,No,No,Yes,Yes,Yes,74.7,No
Female,Yes,Yes,No,65,Fiber optic,Yes,Yes,Yes,No,No,No,94.4,No
Female,Yes,No,No,13,DSL,No,Yes,Yes,No,No,Yes,54.8,No
Male,Yes,No,No,4,Fiber optic,Yes,No,No,No,No,No,75.35,No
Male,No,No,No,41,DSL,No,No,Yes,No,No,No,65.0,No
Male,Yes,No,No,15,Fiber optic,No,Yes,No,No,No,Yes,74.4,Yes
Male,No,No,No,1,DSL,Yes,No,No,No,No,Yes,48.55,Yes
Male,No,No,No,42,Fiber optic,Yes,Yes,Yes,No,No,Yes,99.0,No
Female,No,Yes,No,51,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,93.5,No
Female,No,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,70.4,Yes
Male,Yes,Yes,No,1,DSL,No,Yes,No,No,Yes,No,40.2,Yes
Male,No,No,Yes,32,DSL,No,Yes,Yes,Yes,Yes,No,83.7,No
Female,No,Yes,Yes,67,DSL,No,Yes,Yes,Yes,Yes,Yes,59.55,No
Female,No,Yes,Yes,61,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,115.1,No
Male,No,No,No,50,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,114.35,No
Female,No,Yes,No,2,DSL,No,No,No,No,No,Yes,44.6,Yes
Female,Yes,Yes,No,29,DSL,Yes,No,Yes,No,No,Yes,45.0,No
Male,Yes,No,No,3,DSL,No,No,Yes,No,No,Yes,41.15,Yes
Male,Yes,No,No,13,Fiber optic,No,Yes,Yes,No,Yes,Yes,106.9,Yes
Male,Yes,Yes,No,57,Fiber optic,No,Yes,No,No,No,Yes,89.85,No
Female,No,No,No,31,DSL,Yes,Yes,No,Yes,No,Yes,49.85,No
Female,No,Yes,No,45,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,113.3,No
Female,No,Yes,Yes,61,DSL,Yes,Yes,Yes,Yes,Yes,No,88.1,No
Female,Yes,No,No,19,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,105.0,No
Female,Yes,No,No,16,Fiber optic,No,No,No,Yes,Yes,Yes,94.45,Yes
Male,No,Yes,No,57,DSL,Yes,Yes,No,Yes,No,Yes,59.75,No
Male,No,No,No,1,DSL,No,No,No,No,No,No,24.8,Yes
Male,Yes,Yes,No,20,Fiber optic,No,Yes,No,Yes,Yes,No,107.05,No
Male,No,No,No,1,Fiber optic,No,No,No,No,No,No,70.6,Yes
Male,No,Yes,No,5,Fiber optic,No,Yes,No,Yes,No,Yes,85.4,Yes
Female,No,Yes,No,52,Fiber optic,No,Yes,Yes,No,Yes,Yes,105.05,Yes
Male,Yes,Yes,No,21,DSL,Yes,Yes,No,No,No,Yes,64.95,No
Male,No,No,No,14,DSL,No,No,Yes,Yes,Yes,Yes,55.0,No
Female,No,No,No,5,DSL,No,Yes,No,No,No,No,50.55,No
Female,No,No,No,6,DSL,Yes,Yes,No,No,No,No,55.15,No
Female,No,No,No,10,DSL,No,Yes,No,No,No,No,51.2,No
Female,No,No,No,68,DSL,Yes,No,No,No,No,No,54.45,No
Male,No,Yes,Yes,18,Fiber optic,No,No,Yes,No,Yes,No,95.15,Yes
Female,No,No,No,22,Fiber optic,No,No,No,No,No,Yes,76.0,No
Female,No,No,No,20,DSL,No,No,No,No,No,Yes,44.35,No
Male,No,Yes,No,1,Fiber optic,No,No,No,No,No,No,70.0,Yes
Male,Yes,No,No,8,Fiber optic,No,Yes,No,No,No,Yes,74.5,Yes
Male,No,No,No,10,DSL,No,No,No,No,No,Yes,44.85,Yes
Male,Yes,No,No,24,Fiber optic,No,No,No,No,No,Yes,76.1,Yes
Male,No,No,No,35,DSL,Yes,Yes,Yes,No,No,No,61.2,No
Male,No,Yes,Yes,23,Fiber optic,No,Yes,Yes,Yes,No,No,86.8,No
Female,Yes,No,No,6,Fiber optic,No,No,No,No,Yes,Yes,89.35,No
Female,No,Yes,Yes,71,Fiber optic,No,No,Yes,No,No,No,76.05,No
Male,Yes,Yes,No,35,Fiber optic,No,No,Yes,No,Yes,Yes,100.8,No
Male,No,Yes,Yes,40,DSL,No,No,Yes,No,Yes,Yes,74.55,No
Female,No,No,Yes,1,Fiber optic,Yes,No,No,No,No,Yes,73.6,Yes
Male,No,No,No,23,DSL,No,No,No,No,Yes,Yes,64.9,No
Female,Yes,No,No,4,Fiber optic,No,No,No,No,Yes,Yes,95.45,Yes
Male,No,No,No,4,Fiber optic,No,No,Yes,Yes,No,Yes,90.4,No
Female,No,Yes,Yes,68,DSL,No,Yes,Yes,Yes,Yes,No,60.3,No
Male,No,No,Yes,38,Fiber optic,No,Yes,No,No,No,Yes,81.85,No
Male,Yes,Yes,No,32,Fiber optic,No,No,No,No,No,Yes,74.9,Yes
Male,No,Yes,Yes,29,DSL,No,No,Yes,Yes,Yes,No,75.55,No
Male,Yes,Yes,Yes,38,Fiber optic,No,Yes,No,No,Yes,No,101.15,No
Male,No,No,Yes,48,DSL,Yes,No,Yes,No,Yes,Yes,78.75,No
Female,No,No,No,22,Fiber optic,Yes,No,No,Yes,No,Yes,89.05,No
Female,No,No,No,43,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,115.05,No
Female,Yes,Yes,No,5,Fiber optic,No,No,No,No,No,Yes,69.35,No
Male,No,No,No,5,Fiber optic,No,No,No,No,Yes,Yes,80.6,Yes
Male,No,Yes,Yes,51,Fiber optic,Yes,Yes,No,Yes,Yes,No,110.05,No
Female,No,Yes,Yes,38,DSL,Yes,Yes,No,Yes,Yes,No,80.3,Yes
Male,Yes,Yes,No,24,Fiber optic,No,No,Yes,No,Yes,Yes,93.15,Yes
Male,No,Yes,No,35,Fiber optic,No,No,No,Yes,Yes,Yes,91.5,No
Female,Yes,No,No,54,DSL,Yes,Yes,No,Yes,Yes,No,82.45,Yes
Female,No,Yes,Yes,72,DSL,No,Yes,Yes,Yes,Yes,Yes,60.0,No
Male,No,No,No,1,DSL,No,No,No,No,No,Yes,44.8,No
Female,No,Yes,Yes,9,DSL,Yes,No,No,No,No,No,48.6,No
Male,No,No,No,69,DSL,Yes,Yes,No,Yes,Yes,Yes,60.05,No
Female,No,Yes,No,52,Fiber optic,No,Yes,No,Yes,Yes,Yes,102.7,No
Female,Yes,Yes,No,11,Fiber optic,No,No,No,Yes,Yes,Yes,82.9,No
Female,Yes,No,No,2,Fiber optic,No,No,No,No,No,Yes,70.35,Yes
Female,Yes,Yes,Yes,28,DSL,No,No,No,No,Yes,Yes,35.9,No
Female,Yes,No,No,17,Fiber optic,No,No,Yes,No,No,Yes,82.65,No
Male,No,No,No,46,Fiber optic,No,Yes,Yes,No,Yes,Yes,94.9,No
Female,No,No,No,7,Fiber optic,No,No,No,No,No,Yes,73.85,Yes
Female,No,No,No,2,Fiber optic,No,No,Yes,No,No,No,80.6,Yes
Male,No,Yes,Yes,68,DSL,No,Yes,Yes,Yes,No,Yes,75.8,Yes
Female,No,No,No,43,Fiber optic,No,Yes,Yes,No,Yes,Yes,104.6,Yes
Female,No,No,No,68,DSL,Yes,Yes,Yes,Yes,Yes,Yes,88.15,No
Female,No,No,No,36,Fiber optic,No,Yes,No,No,Yes,Yes,94.8,No
Male,No,Yes,No,63,Fiber optic,No,Yes,Yes,No,Yes,Yes,103.4,Yes
Female,Yes,No,No,32,DSL,No,Yes,No,Yes,No,No,54.65,No
Female,No,Yes,No,71,DSL,Yes,Yes,Yes,Yes,Yes,No,85.75,No
Female,No,Yes,Yes,66,DSL,Yes,Yes,Yes,No,No,Yes,67.45,No
Female,Yes,No,No,1,Fiber optic,No,No,No,No,No,Yes,72.1,No
Female,No,No,No,2,Fiber optic,No,No,No,No,Yes,Yes,90.4,Yes
Female,No,No,No,23,DSL,No,No,No,No,Yes,Yes,44.95,No
Female,Yes,Yes,No,64,Fiber optic,Yes,Yes,Yes,No,No,No,97.0,No
Male,No,Yes,Yes,37,DSL,Yes,No,Yes,Yes,No,Yes,62.8,No
Male,No,No,Yes,17,DSL,No,No,No,No,No,No,44.6,No
Female,Yes,No,No,7,Fiber optic,No,No,No,No,Yes,Yes,89.15,No
Male,No,Yes,Yes,4,Fiber optic,No,Yes,Yes,No,No,Yes,84.8,Yes
Female,Yes,No,No,21,DSL,Yes,No,No,No,Yes,Yes,41.9,Yes
Female,No,No,No,10,Fiber optic,No,No,No,No,No,Yes,80.25,Yes
Female,Yes,No,No,16,DSL,Yes,No,No,No,No,Yes,54.1,No
Male,No,Yes,No,64,Fiber optic,No,Yes,No,Yes,Yes,Yes,105.25,No
Male,Yes,Yes,No,27,DSL,Yes,No,No,No,No,No,30.75,Yes
Male,No,Yes,Yes,42,Fiber optic,Yes,No,No,No,Yes,No,97.1,No
Female,No,No,No,41,Fiber optic,No,Yes,No,Yes,Yes,Yes,98.8,No
Male,No,Yes,No,58,DSL,No,No,Yes,No,No,No,50.3,No
Male,No,No,No,18,Fiber optic,No,No,No,Yes,No,Yes,75.9,No
Male,No,No,No,5,Fiber optic,No,No,Yes,No,Yes,No,96.5,Yes
Male,No,Yes,No,23,DSL,Yes,No,No,No,No,Yes,59.95,No
Male,No,Yes,No,71,Fiber optic,No,No,Yes,No,Yes,Yes,98.65,No
Male,No,Yes,Yes,72,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,112.6,No
Male,No,No,No,2,Fiber optic,No,No,No,No,Yes,Yes,85.65,Yes
Male,No,No,Yes,24,DSL,Yes,No,No,Yes,No,No,35.75,No
Female,No,Yes,Yes,56,Fiber optic,No,Yes,Yes,Yes,No,Yes,99.75,No
Male,No,No,No,37,Fiber optic,No,Yes,No,No,Yes,Yes,96.1,No
Female,No,No,No,43,DSL,No,Yes,Yes,Yes,Yes,No,85.1,No
Male,No,No,No,1,DSL,No,No,No,No,No,No,25.35,No
Female,No,Yes,No,25,Fiber optic,No,No,Yes,Yes,Yes,Yes,104.95,Yes
Female,No,No,No,61,DSL,Yes,Yes,Yes,Yes,Yes,No,89.65,No
Male,No,No,No,17,Fiber optic,No,No,Yes,Yes,No,No,86.75,No
Female,No,Yes,No,41,Fiber optic,No,Yes,Yes,Yes,No,Yes,86.2,No
Male,No,No,No,1,DSL,No,Yes,No,No,No,No,50.65,Yes
Male,Yes,Yes,Yes,72,DSL,Yes,Yes,Yes,Yes,Yes,Yes,64.8,No
Male,No,No,No,1,Fiber optic,No,Yes,No,No,No,Yes,90.85,Yes
Male,No,No,No,48,Fiber optic,No,Yes,Yes,No,Yes,Yes,108.1,No
Female,Yes,Yes,No,55,Fiber optic,No,Yes,Yes,No,No,Yes,85.45,Yes
Female,No,No,No,42,DSL,Yes,Yes,Yes,Yes,No,Yes,54.75,No
Male,No,No,No,44,Fiber optic,No,No,Yes,No,No,Yes,90.4,No
Male,No,No,Yes,1,DSL,No,No,No,No,No,No,44.0,No
Female,No,No,No,27,Fiber optic,No,No,No,No,Yes,Yes,95.6,No
Male,Yes,Yes,No,27,DSL,No,Yes,Yes,Yes,Yes,Yes,84.8,No
Female,Yes,No,No,2,DSL,No,No,No,No,No,Yes,44.3,No
Female,Yes,Yes,No,42,Fiber optic,No,No,No,No,Yes,Yes,95.05,No
